DATE,TAVG,TMAX,TMIN,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Season
1949-09-01,23.45,29.0,17.9,,,,,,,,Autumn
1949-09-02,22.95,27.5,18.4,,,,,,,,Autumn
1949-09-03,23.6,29.9,17.3,,,,,,,,Autumn
1949-09-04,25.9,30.6,21.2,,,,,,,,Autumn
1949-09-05,25.75,30.8,20.7,,,,,,,,Autumn
1949-09-06,25.7,29.6,21.8,,,,,,,,Autumn
1949-09-07,23.6,26.2,21.0,,,,,,,,Autumn
1949-09-08,23.45,27.0,19.9,,,,,,,,Autumn
1949-09-09,18.95,20.7,17.2,,,,,,,,Autumn
1949-09-10,21.2,26.6,15.8,,,,,,,,Autumn
1949-09-11,23.7,27.8,19.6,,,,,,,,Autumn
1949-09-12,22.8,26.2,19.4,,,,,,,,Autumn
1949-09-13,24.95,30.2,19.7,,,,,,,,Autumn
1949-09-14,24.95,31.1,18.8,,,,,,,,Autumn
1949-09-15,25.05,28.9,21.2,,,,,,,,Autumn
1949-09-16,23.95,24.8,23.1,,,,,,,,Autumn
1949-09-17,20.65,23.7,17.6,,,,,,,,Autumn
1949-09-18,18.15,19.7,16.6,,,,,,,,Autumn
1949-09-19,21.0,26.7,15.3,,,,,,,,Autumn
1949-09-20,21.2,27.0,15.4,,,,,,,,Autumn
1949-09-21,20.4,26.5,14.3,,,,,,,,Autumn
1949-09-22,20.85,26.3,15.4,,,,,,,,Autumn
1949-09-23,19.7,25.3,14.1,,,,,,,,Autumn
1949-09-24,21.65,25.9,17.4,,,,,,,,Autumn
1949-09-25,18.2,20.8,15.6,,,,,,,,Autumn
1949-09-26,17.9,21.0,14.8,,,,,,,,Autumn
1949-09-27,20.45,24.4,16.5,,,,,,,,Autumn
1949-09-28,21.75,26.9,16.6,,,,,,,,Autumn
1949-09-29,22.05,26.4,17.7,,,,,,,,Autumn
1949-09-30,19.95,23.4,16.5,,,,,,,,Autumn
1949-10-01,19.95,25.8,14.1,,,,,,,,Autumn
1949-10-02,20.05,26.3,13.8,,,,,,,,Autumn
1949-10-03,19.05,23.1,15.0,,,,,,,,Autumn
1949-10-04,20.8,26.2,15.4,,,,,,,,Autumn
1949-10-05,19.8,26.0,13.6,,,,,,,,Autumn
1949-10-06,18.75,25.0,12.5,,,,,,,,Autumn
1949-10-07,18.45,25.2,11.7,,,,,,,,Autumn
1949-10-08,18.95,21.7,16.2,,,,,,,,Autumn
1949-10-09,18.1,21.6,14.6,,,,,,,,Autumn
1949-10-10,18.0,23.2,12.8,,,,,,,,Autumn
1949-10-11,18.35,24.3,12.4,,,,,,,,Autumn
1949-10-12,16.2,18.4,14.0,,,,,,,,Autumn
1949-10-13,16.3,20.0,12.6,,,,,,,,Autumn
1949-10-14,16.2,20.7,11.7,,,,,,,,Autumn
1949-10-15,15.8,22.2,9.4,,,,,,,,Autumn
1949-10-16,16.15,21.9,10.4,,,,,,,,Autumn
1949-10-17,16.15,22.1,10.2,,,,,,,,Autumn
1949-10-18,13.55,17.9,9.2,,,,,,,,Autumn
1949-10-19,12.95,17.4,8.5,,,,,,,,Autumn
1949-10-20,13.4,19.7,7.1,,,,,,,,Autumn
1949-10-21,14.2,20.4,8.0,,,,,,,,Autumn
1949-10-22,16.15,22.3,10.0,,,,,,,,Autumn
1949-10-23,15.6,22.6,8.6,,,,,,,,Autumn
1949-10-24,14.3,19.0,9.6,,,,,,,,Autumn
1949-10-25,14.6,19.2,10.0,,,,,,,,Autumn
1949-10-26,14.75,20.8,8.7,,,,,,,,Autumn
1949-10-27,13.05,19.9,6.2,,,,,,,,Autumn
1949-10-28,13.3,18.6,8.0,,,,,,,,Autumn
1949-10-29,7.65,11.5,3.8,,,,,,,,Autumn
1949-10-30,5.9,10.4,1.4,,,,,,,,Autumn
1949-10-31,7.85,15.4,0.3,,,,,,,,Autumn
1949-11-01,15.15,18.5,11.8,,,,,,,,Autumn
1949-11-02,12.5,18.4,6.6,,,,,,,,Autumn
1949-11-03,10.05,13.5,6.6,,,,,,,,Autumn
1949-11-04,11.05,13.9,8.2,,,,,,,,Autumn
1949-11-05,12.0,16.3,7.7,,,,,,,,Autumn
1949-11-06,12.4,17.8,7.0,,,,,,,,Autumn
1949-11-07,11.75,15.3,8.2,,,,,,,,Autumn
1949-11-08,12.1,19.4,4.8,,,,,,,,Autumn
1949-11-09,10.95,16.8,5.1,,,,,,,,Autumn
1949-11-10,10.1,15.4,4.8,,,,,,,,Autumn
1949-11-11,10.45,16.8,4.1,,,,,,,,Autumn
1949-11-12,13.2,18.2,8.2,,,,,,,,Autumn
1949-11-13,10.35,14.2,6.5,,,,,,,,Autumn
1949-11-14,3.7,8.4,-1.0,,,,,,,,Autumn
1949-11-15,5.65,11.8,-0.5,,,,,,,,Autumn
1949-11-16,5.7,12.8,-1.4,,,,,,,,Autumn
1949-11-17,-2.05,2.1,-6.2,,,,,,,,Autumn
1949-11-18,-0.85,4.9,-6.6,,,,,,,,Autumn
1949-11-19,5.65,11.2,0.1,,,,,,,,Autumn
1949-11-20,9.25,15.7,2.8,,,,,,,,Autumn
1949-11-21,9.7,16.2,3.2,,,,,,,,Autumn
1949-11-22,7.8,13.4,2.2,,,,,,,,Autumn
1949-11-23,6.4,12.7,0.1,,,,,,,,Autumn
1949-11-24,5.65,10.3,1.0,,,,,,,,Autumn
1949-11-25,7.5,13.2,1.8,,,,,,,,Autumn
1949-11-26,7.55,13.1,2.0,,,,,,,,Autumn
1949-11-27,7.05,13.1,1.0,,,,,,,,Autumn
1949-11-28,6.5,13.0,0.0,,,,,,,,Autumn
1949-11-29,7.05,12.8,1.3,,,,,,,,Autumn
1949-11-30,8.75,13.1,4.4,,,,,,,,Autumn
1952-09-01,23.55,27.1,20.0,,,,,,,,Autumn
1952-09-02,21.9,25.3,18.5,,,,,,,,Autumn
1952-09-03,20.1,22.9,17.3,,,,,,,,Autumn
1952-09-04,22.3,26.1,18.5,,,,,,,,Autumn
1952-09-05,22.8,26.6,19.0,,,,,,,,Autumn
1952-09-06,24.15,28.1,20.2,,,,,,,,Autumn
1952-09-07,22.65,24.5,20.8,,,,,,,,Autumn
1952-09-08,23.35,27.2,19.5,,,,,,,,Autumn
1952-09-09,24.35,28.4,20.3,,,,,,,,Autumn
1952-09-10,24.35,30.3,18.4,,,,,,,,Autumn
1952-09-11,23.35,26.2,20.5,,,,,,,,Autumn
1952-09-12,21.3,23.6,19.0,,,,,,,,Autumn
1952-09-13,19.5,21.3,17.7,,,,,,,,Autumn
1952-09-14,21.25,24.4,18.1,,,,,,,,Autumn
1952-09-15,21.8,25.3,18.3,,,,,,,,Autumn
1952-09-16,20.9,25.4,16.4,,,,,,,,Autumn
1952-09-17,19.75,24.7,14.8,,,,,,,,Autumn
1952-09-18,18.85,24.0,13.7,,,,,,,,Autumn
1952-09-19,19.85,24.7,15.0,,,,,,,,Autumn
1952-09-20,20.65,24.5,16.8,,,,,,,,Autumn
1952-09-21,19.6,24.6,14.6,,,,,,,,Autumn
1952-09-22,18.9,23.5,14.3,,,,,,,,Autumn
1952-09-23,19.75,24.2,15.3,,,,,,,,Autumn
1952-09-24,19.5,21.9,17.1,,,,,,,,Autumn
1952-09-25,14.6,17.4,11.8,,,,,,,,Autumn
1952-09-26,16.55,22.1,11.0,,,,,,,,Autumn
1952-09-27,17.15,22.5,11.8,,,,,,,,Autumn
1952-09-28,17.8,21.5,14.1,,,,,,,,Autumn
1952-09-29,14.75,20.3,9.2,,,,,,,,Autumn
1952-09-30,15.6,21.9,9.3,,,,,,,,Autumn
1952-10-01,18.55,23.4,13.7,,,,,,,,Autumn
1952-10-02,17.55,20.4,14.7,,,,,,,,Autumn
1952-10-03,17.25,21.5,13.0,,,,,,,,Autumn
1952-10-04,15.9,20.1,11.7,,,,,,,,Autumn
1952-10-05,15.25,20.5,10.0,,,,,,,,Autumn
1952-10-06,18.55,24.3,12.8,,,,,,,,Autumn
1952-10-07,17.95,22.7,13.2,,,,,,,,Autumn
1952-10-08,17.25,23.1,11.4,,,,,,,,Autumn
1952-10-09,18.05,23.6,12.5,,,,,,,,Autumn
1952-10-10,16.55,19.7,13.4,,,,,,,,Autumn
1952-10-11,10.4,13.4,7.4,,,,,,,,Autumn
1952-10-12,13.1,19.7,6.5,,,,,,,,Autumn
1952-10-13,13.6,19.7,7.5,,,,,,,,Autumn
1952-10-14,16.0,22.0,10.0,,,,,,,,Autumn
1952-10-15,12.45,16.9,8.0,,,,,,,,Autumn
1952-10-16,10.1,13.6,6.6,,,,,,,,Autumn
1952-10-17,11.6,16.9,6.3,,,,,,,,Autumn
1952-10-18,13.9,19.2,8.6,,,,,,,,Autumn
1952-10-19,15.0,20.8,9.2,,,,,,,,Autumn
1952-10-20,16.1,22.1,10.1,,,,,,,,Autumn
1952-10-21,15.4,18.4,12.4,,,,,,,,Autumn
1952-10-22,10.1,14.2,6.0,,,,,,,,Autumn
1952-10-23,9.8,14.4,5.2,,,,,,,,Autumn
1952-10-24,10.95,15.4,6.5,,,,,,,,Autumn
1952-10-25,9.4,14.5,4.3,,,,,,,,Autumn
1952-10-26,7.75,13.3,2.2,,,,,,,,Autumn
1952-10-27,10.5,15.2,5.8,,,,,,,,Autumn
1952-10-28,12.7,17.3,8.1,,,,,,,,Autumn
1952-10-29,12.75,17.1,8.4,,,,,,,,Autumn
1952-10-30,13.55,17.7,9.4,,,,,,,,Autumn
1952-10-31,12.75,17.2,8.3,,,,,,,,Autumn
1952-11-01,10.45,16.3,4.6,,,,,,,,Autumn
1952-11-02,12.1,16.3,7.9,,,,,,,,Autumn
1952-11-03,12.45,16.4,8.5,,,,,,,,Autumn
1952-11-04,12.8,18.5,7.1,,,,,,,,Autumn
1952-11-05,14.55,21.4,7.7,,,,,,,,Autumn
1952-11-06,7.9,12.5,3.3,,,,,,,,Autumn
1952-11-07,6.55,10.2,2.9,,,,,,,,Autumn
1952-11-08,6.8,11.9,1.7,,,,,,,,Autumn
1952-11-09,10.35,15.2,5.5,,,,,,,,Autumn
1952-11-10,12.9,18.7,7.1,,,,,,,,Autumn
1952-11-11,11.0,13.6,8.4,,,,,,,,Autumn
1952-11-12,10.3,14.1,6.5,,,,,,,,Autumn
1952-11-13,8.85,12.9,4.8,,,,,,,,Autumn
1952-11-14,7.05,9.4,4.7,,,,,,,,Autumn
1952-11-15,6.4,10.5,2.3,,,,,,,,Autumn
1952-11-16,5.75,9.5,2.0,,,,,,,,Autumn
