DATE,TAVG,TMAX,TMIN,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Season
1949-03-01,0.9,5.4,-3.6,,,,,,,,Spring
1949-03-02,1.6,6.0,-2.8,,,,,,,,Spring
1949-03-03,1.15,6.7,-4.4,,,,,,,,Spring
1949-03-04,5.0,9.6,0.4,,,,,,,,Spring
1949-03-05,2.85,7.5,-1.8,,,,,,,,Spring
1949-03-06,1.85,6.8,-3.1,,,,,,,,Spring
1949-03-07,1.9,5.4,-1.6,,,,,,,,Spring
1949-03-08,1.3,5.0,-2.4,,,,,,,,Spring
1949-03-09,5.65,9.4,1.9,,,,,,,,Spring
1949-03-10,3.65,7.7,-0.4,,,,,,,,Spring
1949-03-11,1.25,5.8,-3.3,,,,,,,,Spring
1949-03-12,4.85,10.1,-0.4,,,,,,,,Spring
1949-03-13,4.2,6.1,2.3,,,,,,,,Spring
1949-03-14,6.6,12.2,1.0,,,,,,,,Spring
1949-03-15,7.05,12.9,1.2,,,,,,,,Spring
1949-03-16,5.2,9.0,1.4,,,,,,,,Spring
1949-03-17,4.55,6.7,2.4,,,,,,,,Spring
1949-03-18,1.7,5.0,-1.6,,,,,,,,Spring
1949-03-19,1.65,5.8,-2.5,,,,,,,,Spring
1949-03-20,2.8,6.2,-0.6,,,,,,,,Spring
1949-03-21,4.1,8.8,-0.6,,,,,,,,Spring
1949-03-22,2.9,6.8,-1.0,,,,,,,,Spring
1949-03-23,1.9,6.2,-2.4,,,,,,,,Spring
1949-03-24,3.55,7.3,-0.2,,,,,,,,Spring
1949-03-25,4.45,8.2,0.7,,,,,,,,Spring
1949-03-26,5.35,10.1,0.6,,,,,,,,Spring
1949-03-27,5.15,9.3,1.0,,,,,,,,Spring
1949-03-28,6.8,11.2,2.4,,,,,,,,Spring
1949-03-29,8.4,12.0,4.8,,,,,,,,Spring
1949-03-30,8.35,13.2,3.5,,,,,,,,Spring
1949-03-31,9.0,12.4,5.6,,,,,,,,Spring
1949-04-01,9.65,16.6,2.7,,,,,,,,Spring
1949-04-02,12.05,18.6,5.5,,,,,,,,Spring
1949-04-03,6.25,9.6,2.9,,,,,,,,Spring
1949-04-04,6.8,10.6,3.0,,,,,,,,Spring
1949-04-05,4.2,7.0,1.4,,,,,,,,Spring
1949-04-06,5.75,9.0,2.5,,,,,,,,Spring
1949-04-07,6.8,10.4,3.2,,,,,,,,Spring
1949-04-08,7.35,11.2,3.5,,,,,,,,Spring
1949-04-09,8.3,10.0,6.6,,,,,,,,Spring
1949-04-10,7.8,12.0,3.6,,,,,,,,Spring
1949-04-11,10.65,17.6,3.7,,,,,,,,Spring
1949-04-12,8.6,11.8,5.4,,,,,,,,Spring
1949-04-13,7.9,11.6,4.2,,,,,,,,Spring
1949-04-14,8.45,13.1,3.8,,,,,,,,Spring
1949-04-15,9.55,14.7,4.4,,,,,,,,Spring
1949-04-16,10.2,15.5,4.9,,,,,,,,Spring
1949-04-17,10.8,15.7,5.9,,,,,,,,Spring
1949-04-18,12.05,17.5,6.6,,,,,,,,Spring
1949-04-19,10.5,14.5,6.5,,,,,,,,Spring
1949-04-20,10.65,14.7,6.6,,,,,,,,Spring
1949-04-21,11.4,15.4,7.4,,,,,,,,Spring
1949-04-22,11.55,15.3,7.8,,,,,,,,Spring
1949-04-23,12.45,16.3,8.6,,,,,,,,Spring
1949-04-24,11.2,13.6,8.8,,,,,,,,Spring
1949-04-25,14.4,22.0,6.8,,,,,,,,Spring
1949-04-26,15.4,20.2,10.6,,,,,,,,Spring
1949-04-27,14.55,18.8,10.3,,,,,,,,Spring
1949-04-28,15.25,21.3,9.2,,,,,,,,Spring
1949-04-29,16.2,23.6,8.8,,,,,,,,Spring
1949-04-30,13.25,17.2,9.3,,,,,,,,Spring
1949-05-01,12.55,17.0,8.1,,,,,,,,Spring
1949-05-02,10.3,12.0,8.6,,,,,,,,Spring
1949-05-03,11.0,14.8,7.2,,,,,,,,Spring
1949-05-04,9.7,13.0,6.4,,,,,,,,Spring
1949-05-05,11.9,13.9,9.9,,,,,,,,Spring
1949-05-06,13.3,16.1,10.5,,,,,,,,Spring
1949-05-07,11.95,14.8,9.1,,,,,,,,Spring
1949-05-08,14.8,20.1,9.5,,,,,,,,Spring
1949-05-09,17.35,22.1,12.6,,,,,,,,Spring
1949-05-10,17.6,21.2,14.0,,,,,,,,Spring
1949-05-11,22.15,28.1,16.2,,,,,,,,Spring
1949-05-12,16.85,22.3,11.4,,,,,,,,Spring
1949-05-13,11.2,12.5,9.9,,,,,,,,Spring
1949-05-14,12.8,16.1,9.5,,,,,,,,Spring
1949-05-15,13.45,18.2,8.7,,,,,,,,Spring
1949-05-16,16.75,21.4,12.1,,,,,,,,Spring
1949-05-17,13.15,14.5,11.8,,,,,,,,Spring
1949-05-18,18.45,22.7,14.2,,,,,,,,Spring
1949-05-19,19.45,24.1,14.8,,,,,,,,Spring
1949-05-20,21.4,27.0,15.8,,,,,,,,Spring
1949-05-21,19.55,24.2,14.9,,,,,,,,Spring
1949-05-22,17.45,21.4,13.5,,,,,,,,Spring
1949-05-23,17.75,22.5,13.0,,,,,,,,Spring
1949-05-24,16.35,21.3,11.4,,,,,,,,Spring
1949-05-25,15.0,18.2,11.8,,,,,,,,Spring
1949-05-26,15.7,20.8,10.6,,,,,,,,Spring
1949-05-27,18.85,25.6,12.1,,,,,,,,Spring
1949-05-28,21.65,28.8,14.5,,,,,,,,Spring
1949-05-29,22.25,28.0,16.5,,,,,,,,Spring
1949-05-30,22.1,29.9,14.3,,,,,,,,Spring
1949-05-31,20.65,25.8,15.5,,,,,,,,Spring
1950-03-01,2.8,7.6,-2.0,,,,,,,,Spring
1950-03-02,4.7,8.7,0.7,,,,,,,,Spring
1950-03-03,5.25,7.7,2.8,,,,,,,,Spring
1950-03-04,4.1,8.7,-0.5,,,,,,,,Spring
1950-03-05,7.0,15.9,-1.9,,,,,,,,Spring
1950-03-06,9.15,13.5,4.8,,,,,,,,Spring
1950-03-07,3.0,6.2,-0.2,,,,,,,,Spring
1950-03-08,-0.75,3.3,-4.8,,,,,,,,Spring
1950-03-09,1.3,6.6,-4.0,,,,,,,,Spring
1950-03-10,0.3,6.2,-5.6,,,,,,,,Spring
1950-03-11,-6.55,-4.7,-8.4,,,,,,,,Spring
1950-03-12,-2.1,3.8,-8.0,,,,,,,,Spring
1950-03-13,-0.95,3.2,-5.1,,,,,,,,Spring
1950-03-14,3.35,6.8,-0.1,,,,,,,,Spring
1950-03-15,3.45,8.1,-1.2,,,,,,,,Spring
1950-03-16,3.8,8.6,-1.0,,,,,,,,Spring
1950-03-17,5.6,10.5,0.7,,,,,,,,Spring
1950-03-18,8.8,13.8,3.8,,,,,,,,Spring
1950-03-19,2.7,5.9,-0.5,,,,,,,,Spring
1950-03-20,1.15,4.4,-2.1,,,,,,,,Spring
1950-03-21,1.75,6.7,-3.2,,,,,,,,Spring
1950-03-22,3.1,9.4,-3.2,,,,,,,,Spring
1950-03-23,8.4,16.2,0.6,,,,,,,,Spring
1950-03-24,11.45,18.1,4.8,,,,,,,,Spring
1950-03-25,10.8,14.8,6.8,,,,,,,,Spring
1950-03-26,11.1,15.2,7.0,,,,,,,,Spring
1950-03-27,9.4,15.8,3.0,,,,,,,,Spring
1950-03-28,9.0,15.0,3.0,,,,,,,,Spring
1950-03-29,11.8,17.3,6.3,,,,,,,,Spring
1950-03-30,14.0,21.0,7.0,,,,,,,,Spring
1950-03-31,13.1,20.2,6.0,,,,,,,,Spring
1950-04-01,11.75,17.3,6.2,,,,,,,,Spring
1950-04-02,10.85,14.5,7.2,,,,,,,,Spring
1950-04-03,10.65,14.0,7.3,,,,,,,,Spring
1950-04-04,12.2,19.1,5.3,,,,,,,,Spring
1950-04-05,7.2,9.5,4.9,,,,,,,,Spring
1950-04-06,6.1,9.4,2.8,,,,,,,,Spring
1950-04-07,7.2,11.8,2.6,,,,,,,,Spring
1950-04-08,7.6,11.0,4.2,,,,,,,,Spring
1950-04-09,8.65,13.0,4.3,,,,,,,,Spring
1950-04-10,10.9,14.6,7.2,,,,,,,,Spring
1950-04-11,12.55,18.4,6.7,,,,,,,,Spring
1950-04-12,14.4,20.4,8.4,,,,,,,,Spring
1950-04-13,14.15,20.2,8.1,,,,,,,,Spring
1950-04-14,14.6,20.3,8.9,,,,,,,,Spring
1950-04-15,20.1,27.6,12.6,,,,,,,,Spring
1950-04-16,18.45,23.8,13.1,,,,,,,,Spring
1950-04-17,12.9,18.2,7.6,,,,,,,,Spring
1950-04-18,13.4,17.4,9.4,,,,,,,,Spring
1950-04-19,14.6,18.4,10.8,,,,,,,,Spring
1950-04-20,11.9,15.8,8.0,,,,,,,,Spring
1950-04-21,12.05,17.7,6.4,,,,,,,,Spring
1950-04-22,14.55,21.2,7.9,,,,,,,,Spring
1950-04-23,14.95,21.6,8.3,,,,,,,,Spring
1950-04-24,15.2,19.4,11.0,,,,,,,,Spring
1950-04-25,13.9,18.7,9.1,,,,,,,,Spring
1950-04-26,14.35,18.9,9.8,,,,,,,,Spring
1950-04-27,14.9,20.2,9.6,,,,,,,,Spring
1950-04-28,17.25,24.6,9.9,,,,,,,,Spring
1950-04-29,19.6,26.8,12.4,,,,,,,,Spring
1950-04-30,20.8,25.6,16.0,,,,,,,,Spring
1950-05-01,21.2,27.4,15.0,,,,,,,,Spring
1950-05-02,18.0,20.1,15.9,,,,,,,,Spring
1950-05-03,19.95,25.8,14.1,,,,,,,,Spring
1950-05-04,14.15,17.3,11.0,,,,,,,,Spring
1950-05-05,13.3,16.2,10.4,,,,,,,,Spring
1950-05-06,13.6,16.6,10.6,,,,,,,,Spring
1950-05-07,14.6,19.8,9.4,,,,,,,,Spring
1950-05-08,15.75,21.3,10.2,,,,,,,,Spring
1950-05-09,13.15,15.1,11.2,,,,,,,,Spring
1950-05-10,13.65,17.6,9.7,,,,,,,,Spring
1950-05-11,15.95,20.2,11.7,,,,,,,,Spring
1950-05-12,19.05,26.2,11.9,,,,,,,,Spring
1950-05-13,18.6,24.0,13.2,,,,,,,,Spring
1950-05-14,19.45,25.9,13.0,,,,,,,,Spring
1950-05-15,17.7,22.0,13.4,,,,,,,,Spring
1950-05-16,19.6,25.8,13.4,,,,,,,,Spring
1950-05-17,19.55,24.6,14.5,,,,,,,,Spring
1950-05-18,17.1,20.8,13.4,,,,,,,,Spring
1950-05-19,14.45,18.0,10.9,,,,,,,,Spring
1950-05-20,11.15,13.8,8.5,,,,,,,,Spring
1950-05-21,12.7,16.9,8.5,,,,,,,,Spring
1950-05-22,15.9,20.2,11.6,,,,,,,,Spring
1950-05-23,17.2,23.2,11.2,,,,,,,,Spring
1950-05-24,19.35,26.3,12.4,,,,,,,,Spring
1950-05-25,21.15,27.3,15.0,,,,,,,,Spring
1950-05-26,22.65,28.9,16.4,,,,,,,,Spring
1950-05-27,21.25,25.5,17.0,,,,,,,,Spring
1950-05-28,20.2,25.2,15.2,,,,,,,,Spring
1950-05-29,22.0,29.2,14.8,,,,,,,,Spring
1950-05-30,22.9,29.4,16.4,,,,,,,,Spring
1950-05-31,19.95,24.2,15.7,,,,,,,,Spring
1952-03-01,0.55,2.7,-1.6,,,,,,,,Spring
1952-03-02,0.4,3.6,-2.8,,,,,,,,Spring
1952-03-03,-1.5,2.2,-5.2,,,,,,,,Spring
1952-03-04,-4.3,-1.4,-7.2,,,,,,,,Spring
1952-03-05,-0.7,5.0,-6.4,,,,,,,,Spring
1952-03-06,1.95,7.6,-3.7,,,,,,,,Spring
1952-03-07,4.9,7.1,2.7,,,,,,,,Spring
1952-03-08,3.4,6.0,0.8,,,,,,,,Spring
1952-03-09,2.35,5.5,-0.8,,,,,,,,Spring
1952-03-10,0.4,3.2,-2.4,,,,,,,,Spring
1952-03-11,-0.4,3.4,-4.2,,,,,,,,Spring
1952-03-12,0.05,4.1,-4.0,,,,,,,,Spring
1952-03-13,3.0,6.6,-0.6,,,,,,,,Spring
1952-03-14,4.75,9.2,0.3,,,,,,,,Spring
1952-03-15,4.7,9.2,0.2,,,,,,,,Spring
1952-03-16,5.9,11.6,0.2,,,,,,,,Spring
1952-03-17,8.2,14.1,2.3,,,,,,,,Spring
1952-03-18,6.4,9.6,3.2,,,,,,,,Spring
1952-03-19,4.75,9.2,0.3,,,,,,,,Spring
1952-03-20,2.65,5.6,-0.3,,,,,,,,Spring
1952-03-21,4.35,6.8,1.9,,,,,,,,Spring
1952-03-22,3.85,7.9,-0.2,,,,,,,,Spring
1952-03-23,2.5,6.0,-1.0,,,,,,,,Spring
1952-03-24,3.5,9.0,-2.0,,,,,,,,Spring
1952-03-25,5.5,10.8,0.2,,,,,,,,Spring
1952-03-26,4.5,7.0,2.0,,,,,,,,Spring
1952-03-27,5.35,7.8,2.9,,,,,,,,Spring
1952-03-28,3.3,5.8,0.8,,,,,,,,Spring
1952-03-29,5.45,8.4,2.5,,,,,,,,Spring
1952-03-30,9.55,15.0,4.1,,,,,,,,Spring
1952-03-31,7.3,10.8,3.8,,,,,,,,Spring
1952-04-01,7.4,11.2,3.6,,,,,,,,Spring
1952-04-02,6.7,10.0,3.4,,,,,,,,Spring
1952-04-03,7.4,11.8,3.0,,,,,,,,Spring
1952-04-04,9.0,14.2,3.8,,,,,,,,Spring
1952-04-05,10.7,17.0,4.4,,,,,,,,Spring
1952-04-06,12.35,17.8,6.9,,,,,,,,Spring
1952-04-07,12.9,15.8,10.0,,,,,,,,Spring
1952-04-08,12.35,17.3,7.4,,,,,,,,Spring
1952-04-09,11.95,16.1,7.8,,,,,,,,Spring
1952-04-10,16.3,24.2,8.4,,,,,,,,Spring
