DATE,TAVG,TMAX,TMIN,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Season
1949-06-01,21.25,27.7,14.8,,,,,,,,Summer
1949-06-02,22.45,27.6,17.3,,,,,,,,Summer
1949-06-03,20.95,25.1,16.8,,,,,,,,Summer
1949-06-04,19.6,23.2,16.0,,,,,,,,Summer
1949-06-05,19.2,22.3,16.1,,,,,,,,Summer
1949-06-06,18.95,21.8,16.1,,,,,,,,Summer
1949-06-07,14.75,17.0,12.5,,,,,,,,Summer
1949-06-08,15.9,19.6,12.2,,,,,,,,Summer
1949-06-09,17.55,21.8,13.3,,,,,,,,Summer
1949-06-10,17.45,22.4,12.5,,,,,,,,Summer
1949-06-11,17.2,22.0,12.4,,,,,,,,Summer
1949-06-12,19.5,23.8,15.2,,,,,,,,Summer
1949-06-13,21.1,26.5,15.7,,,,,,,,Summer
1949-06-14,21.4,26.0,16.8,,,,,,,,Summer
1949-06-15,20.7,25.2,16.2,,,,,,,,Summer
1949-06-16,19.0,23.0,15.0,,,,,,,,Summer
1949-06-17,22.25,28.8,15.7,,,,,,,,Summer
1949-06-18,23.35,29.4,17.3,,,,,,,,Summer
1949-06-19,24.65,31.9,17.4,,,,,,,,Summer
1949-06-20,24.0,31.8,16.2,,,,,,,,Summer
1949-06-21,20.6,25.5,15.7,,,,,,,,Summer
1949-06-22,21.1,26.4,15.8,,,,,,,,Summer
1949-06-23,20.9,27.8,14.0,,,,,,,,Summer
1949-06-24,20.6,24.6,16.6,,,,,,,,Summer
1949-06-25,21.85,26.3,17.4,,,,,,,,Summer
1949-06-26,22.45,27.2,17.7,,,,,,,,Summer
1949-06-27,22.3,29.4,15.2,,,,,,,,Summer
1949-06-28,23.4,30.9,15.9,,,,,,,,Summer
1949-06-29,22.25,26.3,18.2,,,,,,,,Summer
1949-06-30,19.35,21.8,16.9,,,,,,,,Summer
1949-07-01,22.55,28.2,16.9,,,,,,,,Summer
1949-07-02,25.45,32.0,18.9,,,,,,,,Summer
1949-07-03,25.2,30.3,20.1,,,,,,,,Summer
1949-07-04,27.1,33.8,20.4,,,,,,,,Summer
1949-07-05,27.5,33.1,21.9,,,,,,,,Summer
1949-07-06,23.3,28.8,17.8,,,,,,,,Summer
1949-07-07,24.35,30.1,18.6,,,,,,,,Summer
1949-07-08,24.0,29.2,18.8,,,,,,,,Summer
1949-07-09,25.0,31.8,18.2,,,,,,,,Summer
1949-07-10,19.55,21.6,17.5,,,,,,,,Summer
1949-07-11,22.85,26.8,18.9,,,,,,,,Summer
1949-07-12,24.6,28.7,20.5,,,,,,,,Summer
1949-07-13,25.75,31.1,20.4,,,,,,,,Summer
1949-07-14,22.95,26.2,19.7,,,,,,,,Summer
1949-07-15,24.25,28.2,20.3,,,,,,,,Summer
1949-07-16,26.65,30.8,22.5,,,,,,,,Summer
1949-07-17,28.2,34.0,22.4,,,,,,,,Summer
1949-07-18,27.95,32.0,23.9,,,,,,,,Summer
1949-07-19,26.4,29.8,23.0,,,,,,,,Summer
1949-07-20,27.0,31.6,22.4,,,,,,,,Summer
1949-07-21,26.6,30.4,22.8,,,,,,,,Summer
1949-07-22,26.75,30.0,23.5,,,,,,,,Summer
1949-07-23,27.35,31.5,23.2,,,,,,,,Summer
1949-07-24,28.1,33.0,23.2,,,,,,,,Summer
1949-07-25,29.05,33.9,24.2,,,,,,,,Summer
1949-07-26,27.7,31.2,24.2,,,,,,,,Summer
1949-07-27,24.7,27.6,21.8,,,,,,,,Summer
1949-07-28,24.5,26.8,22.2,,,,,,,,Summer
1949-07-29,26.3,30.4,22.2,,,,,,,,Summer
1949-07-30,27.85,32.5,23.2,,,,,,,,Summer
1949-07-31,25.45,29.6,21.3,,,,,,,,Summer
1949-08-01,25.3,28.9,21.7,,,,,,,,Summer
1949-08-02,26.85,30.2,23.5,,,,,,,,Summer
1949-08-03,26.35,30.0,22.7,,,,,,,,Summer
1949-08-04,26.15,29.2,23.1,,,,,,,,Summer
1949-08-05,26.9,30.8,23.0,,,,,,,,Summer
1949-08-06,26.75,30.8,22.7,,,,,,,,Summer
1949-08-07,27.2,32.0,22.4,,,,,,,,Summer
1949-08-08,28.25,33.2,23.3,,,,,,,,Summer
1949-08-09,29.1,34.0,24.2,,,,,,,,Summer
1949-08-10,29.65,34.4,24.9,,,,,,,,Summer
1949-08-11,27.75,31.4,24.1,,,,,,,,Summer
1949-08-12,27.85,31.6,24.1,,,,,,,,Summer
1949-08-13,28.75,33.4,24.1,,,,,,,,Summer
1949-08-14,28.6,33.8,23.4,,,,,,,,Summer
1949-08-15,30.5,36.3,24.7,,,,,,,,Summer
1949-08-16,32.05,38.9,25.2,,,,,,,,Summer
1949-08-17,31.0,37.3,24.7,,,,,,,,Summer
1949-08-18,27.7,31.7,23.7,,,,,,,,Summer
1949-08-19,27.6,33.8,21.4,,,,,,,,Summer
1949-08-20,26.85,30.4,23.3,,,,,,,,Summer
1949-08-21,26.5,29.8,23.2,,,,,,,,Summer
1949-08-22,26.0,29.3,22.7,,,,,,,,Summer
1949-08-23,26.25,31.0,21.5,,,,,,,,Summer
1949-08-24,26.8,31.2,22.4,,,,,,,,Summer
1949-08-25,26.2,30.8,21.6,,,,,,,,Summer
1949-08-26,25.1,29.0,21.2,,,,,,,,Summer
1949-08-27,24.6,29.6,19.6,,,,,,,,Summer
1949-08-28,26.35,31.6,21.1,,,,,,,,Summer
1949-08-29,23.3,26.8,19.8,,,,,,,,Summer
1949-08-30,23.05,27.0,19.1,,,,,,,,Summer
1949-08-31,22.3,27.8,16.8,,,,,,,,Summer
1952-06-01,17.6,21.9,13.3,,,,,,,,Summer
1952-06-02,16.3,19.8,12.8,,,,,,,,Summer
1952-06-03,17.75,20.5,15.0,,,,,,,,Summer
1952-06-04,17.2,19.8,14.6,,,,,,,,Summer
1952-06-05,18.3,21.5,15.1,,,,,,,,Summer
1952-06-06,19.2,23.6,14.8,,,,,,,,Summer
1952-06-07,22.65,29.8,15.5,,,,,,,,Summer
1952-06-08,22.75,26.8,18.7,,,,,,,,Summer
1952-06-09,20.1,24.8,15.4,,,,,,,,Summer
1952-06-10,16.45,18.3,14.6,,,,,,,,Summer
1952-06-11,17.6,21.7,13.5,,,,,,,,Summer
1952-06-12,18.1,21.2,15.0,,,,,,,,Summer
1952-06-13,19.55,23.0,16.1,,,,,,,,Summer
1952-06-14,19.9,23.5,16.3,,,,,,,,Summer
1952-06-15,20.6,25.6,15.6,,,,,,,,Summer
1952-06-16,20.5,24.1,16.9,,,,,,,,Summer
1952-06-17,19.75,22.3,17.2,,,,,,,,Summer
1952-06-18,18.95,19.9,18.0,,,,,,,,Summer
1952-06-19,21.65,25.1,18.2,,,,,,,,Summer
1952-06-20,20.3,23.8,16.8,,,,,,,,Summer
1952-06-21,21.85,26.2,17.5,,,,,,,,Summer
1952-06-22,23.55,28.1,19.0,,,,,,,,Summer
1952-06-23,27.05,33.3,20.8,,,,,,,,Summer
1952-06-24,23.6,28.0,19.2,,,,,,,,Summer
1952-06-25,22.9,27.2,18.6,,,,,,,,Summer
1952-06-26,23.35,27.5,19.2,,,,,,,,Summer
1952-06-27,23.9,28.6,19.2,,,,,,,,Summer
1952-06-28,23.95,27.4,20.5,,,,,,,,Summer
1952-06-29,21.0,22.9,19.1,,,,,,,,Summer
1952-06-30,23.25,27.4,19.1,,,,,,,,Summer
1952-07-01,21.75,23.7,19.8,,,,,,,,Summer
1952-07-02,21.85,23.8,19.9,,,,,,,,Summer
1952-07-03,22.8,25.8,19.8,,,,,,,,Summer
1952-07-04,22.55,25.5,19.6,,,,,,,,Summer
1952-07-05,22.05,24.6,19.5,,,,,,,,Summer
1952-07-06,23.2,26.7,19.7,,,,,,,,Summer
1952-07-07,25.05,29.9,20.2,,,,,,,,Summer
1952-07-08,24.75,29.5,20.0,,,,,,,,Summer
1952-07-09,23.7,27.8,19.6,,,,,,,,Summer
1952-07-10,25.3,29.2,21.4,,,,,,,,Summer
1952-07-11,24.7,29.8,19.6,,,,,,,,Summer
1952-07-12,26.1,30.4,21.8,,,,,,,,Summer
1952-07-13,25.85,30.0,21.7,,,,,,,,Summer
1952-07-14,25.85,29.4,22.3,,,,,,,,Summer
1952-07-15,26.85,31.7,22.0,,,,,,,,Summer
1952-07-16,28.2,33.4,23.0,,,,,,,,Summer
1952-07-17,26.15,28.3,24.0,,,,,,,,Summer
1952-07-18,26.15,28.5,23.8,,,,,,,,Summer
1952-07-19,26.85,30.5,23.2,,,,,,,,Summer
1952-07-20,27.25,31.1,23.4,,,,,,,,Summer
1952-07-21,27.3,32.0,22.6,,,,,,,,Summer
1952-07-22,28.65,32.6,24.7,,,,,,,,Summer
1952-07-23,29.05,32.7,25.4,,,,,,,,Summer
1952-07-24,28.1,30.9,25.3,,,,,,,,Summer
1952-07-25,27.7,31.0,24.4,,,,,,,,Summer
1952-07-26,25.55,27.2,23.9,,,,,,,,Summer
1952-07-27,24.05,25.4,22.7,,,,,,,,Summer
1952-07-28,21.85,23.6,20.1,,,,,,,,Summer
1952-07-29,22.65,24.6,20.7,,,,,,,,Summer
1952-07-30,24.65,25.8,23.5,,,,,,,,Summer
1952-07-31,25.35,26.7,24.0,,,,,,,,Summer
1952-08-01,24.8,27.6,22.0,,,,,,,,Summer
1952-08-02,21.75,25.2,18.3,,,,,,,,Summer
1952-08-03,23.8,27.4,20.2,,,,,,,,Summer
1952-08-04,24.35,27.9,20.8,,,,,,,,Summer
1952-08-05,24.85,29.3,20.4,,,,,,,,Summer
1952-08-06,26.1,30.5,21.7,,,,,,,,Summer
1952-08-07,26.95,31.2,22.7,,,,,,,,Summer
1952-08-08,26.4,30.6,22.2,,,,,,,,Summer
1952-08-09,26.2,31.0,21.4,,,,,,,,Summer
1952-08-10,27.3,32.0,22.6,,,,,,,,Summer
1952-08-11,27.1,30.7,23.5,,,,,,,,Summer
1952-08-12,26.8,30.7,22.9,,,,,,,,Summer
